Date : 2025-10-10 02:15:05
Directory : e:\web_project2\ceyiz_diz
Total : 138 files,  12014 codes, 963 comments, 1452 blanks, all 14429 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Dart           |         65 |      9,682 |        660 |      1,048 |     11,390 |
| C++            |         16 |        574 |        135 |        191 |        900 |
| XML            |         21 |        565 |        106 |         23 |        694 |
| CMake          |          8 |        469 |          0 |         92 |        561 |
| JSON           |          8 |        352 |          0 |          8 |        360 |
| HTML           |          2 |         99 |         22 |         10 |        131 |
| Markdown       |          3 |         88 |          0 |         29 |        117 |
| Swift          |          6 |         73 |          7 |         21 |        101 |
| Firebase Rules |          1 |         49 |          5 |          9 |         63 |
| YAML           |          4 |         47 |         28 |         17 |         92 |
| Properties     |          4 |         16 |          0 |          4 |         20 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        138 |     12,014 |        963 |      1,452 |     14,429 |
| . (Files)                                                                                             |          8 |        214 |         33 |         39 |        286 |
| .github                                                                                               |          1 |          0 |          0 |          1 |          1 |
| .github\workflows                                                                                     |          1 |          0 |          0 |          1 |          1 |
| android                                                                                               |         12 |        129 |         53 |         28 |        210 |
| android (Files)                                                                                       |          2 |         38 |          0 |         17 |         55 |
| android\app                                                                                           |          9 |         86 |         53 |         10 |        149 |
| android\app\src                                                                                       |          9 |         86 |         53 |         10 |        149 |
| android\app\src\debug                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                  |          7 |         80 |         45 |          8 |        133 |
| android\app\src\main (Files)                                                                          |          1 |         45 |         13 |          1 |         59 |
| android\app\src\main\res                                                                              |          6 |         35 |         32 |          7 |         74 |
| android\app\src\main\res\drawable                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                            |          1 |          5 |          0 |          1 |          6 |
| android\app\src\main\res\values                                                                       |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                               |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                |          1 |          5 |          0 |          1 |          6 |
| android_backup_20251009                                                                               |         11 |         83 |         51 |         12 |        146 |
